评论时间,处理内容,评论者IP归属地,评论内容,用户地理位置,评论者性别
24年06月28日 11:06,感觉有点贵啊！,来自福建,感觉有点贵啊！,北京 东城区,女
24年06月28日 11:05,这个的价格让本贫民窟女孩望而却步了,来自河北,这个的价格让本贫民窟女孩望而却步了,北京 东城区,女
24年06月28日 11:04,我买了...但是感觉没啥好玩的应用,来自广东,我买了...但是感觉没啥好玩的应用,北京 东城区,女
24年06月28日 11:03,哇塞 我也想要,来自江西,哇塞 我也想要,北京 东城区,女
24年06月28日 11:02,哇塞 这个头盔看起来好高级,来自江苏,哇塞 这个头盔看起来好高级,北京 东城区,女
24年06月28日 11:01,vision pro的国行版本能支持国内VR大厂的游戏么,来自广东,vision pro的国行版本能支持国内VR大厂的游戏么,北京 东城区,女
24年06月28日 11:00,有没有可能出个平板版本,来自天津,有没有可能出个平板版本,北京,女
24年06月28日 10:59,主要是这个售价实在是太高了，普通人真接受不了,来自江西,主要是这个售价实在是太高了，普通人真接受不了,北京 东城区,女
24年06月28日 10:58,有没有可能以后玩游戏都不需要手机了,来自辽宁,有没有可能以后玩游戏都不需要手机了,北京 东城区,女
24年06月28日 10:54,这玩意儿适合看电影不适合玩游戏吧,来自贵州,这玩意儿适合看电影不适合玩游戏吧,北京 东城区,女
24年06月28日 10:51,这个头显看起来很有未来感,来自云南,这个头显看起来很有未来感,北京 东城区,女
24年06月28日 10:49,我的钱包已经准备好了,来自安徽,我的钱包已经准备好了,北京 东城区,女
24年06月28日 10:49,头显科技让人期待，期待Vision Pro能带来更多惊喜！,来自山东,头显科技让人期待，期待Vision Pro能带来更多惊喜！,北京 东城区,女
24年06月28日 10:48,国内从来不缺有钱人的，比如辛老师,来自天津,国内从来不缺有钱人的，比如辛老师,北京,女
24年06月28日 10:48,时尚与科技结合，这个Vision Pro我爱了💕,来自天津,时尚与科技结合，这个Vision Pro我爱了💕,北京,女
24年06月28日 10:47,"我买过pixel eye, vision pro感觉显示效果强很多",来自江西,"我买过pixel eye, vision pro感觉显示效果强很多",北京 东城区,女
24年06月28日 10:46,这玩意儿玩游戏感觉会很爽吧,来自江苏,这玩意儿玩游戏感觉会很爽吧,北京 东城区,女
24年06月28日 10:45,哇塞 这下电竞选手打游戏更上头了吧,来自江西,哇塞 这下电竞选手打游戏更上头了吧,北京 东城区,女
24年06月28日 10:45,"已经入手了<img alt=""[鼓掌]"" title=""[鼓掌]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_guzhang_org.png"" />",来自安徽,已经入手了[鼓掌],北京 东城区,女
24年06月28日 10:43,请问vision pro支持hdmi输入么,来自江西,请问vision pro支持hdmi输入么,北京 东城区,女
24年06月28日 10:42,哇哦！终于等到它了,来自广东,哇哦！终于等到它了,北京 东城区,女
24年06月28日 10:40,这款VR眼镜有什么特别的么,来自河北,这款VR眼镜有什么特别的么,北京 东城区,女
24年06月28日 10:38,哇哦~终于等到你,来自广东,哇哦~终于等到你,北京 东城区,女
24年06月28日 10:38,这玩意儿能看小破站嘛,来自江苏,这玩意儿能看小破站嘛,北京 东城区,女
24年06月28日 10:37,"这价格不是一般贵啊<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自贵州,这价格不是一般贵啊[doge],北京 东城区,女
24年06月28日 10:37,这真是非常令人期待呢！,来自天津,这真是非常令人期待呢！,北京,女
24年06月28日 10:35,这个头显有什么功能啊,来自安徽,这个头显有什么功能啊,北京 东城区,女
24年06月28日 10:31,有没有试过的人来说说感受,来自山东,有没有试过的人来说说感受,北京 东城区,女
24年06月28日 10:31,请问vision pro支持hdmi in或者usb in么,来自江苏,请问vision pro支持hdmi in或者usb in么,北京 东城区,女
24年06月28日 10:30,刚入手vision pro就被卡钱包警告,来自河北,刚入手vision pro就被卡钱包警告,北京 东城区,女
24年06月28日 10:30,感觉这个头盔除了打游戏还能干别的嘛,来自安徽,感觉这个头盔除了打游戏还能干别的嘛,北京 东城区,女
24年06月28日 10:30,这玩意儿能看电影么,来自安徽,这玩意儿能看电影么,北京 东城区,女
24年06月28日 10:30,这玩意儿看着好高级,来自云南,这玩意儿看着好高级,北京 东城区,女
24年06月27日 23:33,"<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />",来自河南,[心][心],河南,女
24年06月27日 18:23,这跟game for you里的机器人好像,来自广东,这跟game for you里的机器人好像,北京 东城区,女
24年06月27日 18:20,感觉这个技术会被运用到很多行业吧,来自云南,感觉这个技术会被运用到很多行业吧,北京 东城区,女
24年06月27日 18:19,这玩意儿是干什么用的,来自辽宁,这玩意儿是干什么用的,北京 东城区,女
24年06月27日 18:18,这玩意儿是干啥用的呀,来自河北,这玩意儿是干啥用的呀,北京 东城区,女
24年06月27日 18:16,这玩意儿在哪可以买呀,来自云南,这玩意儿在哪可以买呀,北京 东城区,女
24年06月27日 18:16,这造型有点未来感,来自云南,这造型有点未来感,北京 东城区,女
24年06月27日 18:15,这个机器人看起来好高级,来自江西,这个机器人看起来好高级,北京 东城区,女
24年06月27日 18:13,这玩意儿能干啥,来自贵州,这玩意儿能干啥,北京,女
24年06月27日 18:13,感觉未来的趋势就是智能化和人性化了,来自广东,感觉未来的趋势就是智能化和人性化了,北京 东城区,女
24年06月27日 18:12,感觉有点像《未来日记》里的虚拟助理，真的是太酷了,来自安徽,感觉有点像《未来日记》里的虚拟助理，真的是太酷了,北京 东城区,女
24年06月27日 18:11,这个在中国算先进么,来自河北,这个在中国算先进么,北京 东城区,女
24年06月27日 18:10,这哪是机器人啊,来自江苏,这哪是机器人啊,北京 东城区,女
24年06月27日 18:10,DDPRM，又智能又帅气！😎,来自江苏,DDPRM，又智能又帅气！😎,北京 东城区,女
24年06月27日 18:07,这个全球首发让人激动,来自江西,这个全球首发让人激动,北京 东城区,女
24年06月27日 18:06,这个全球首款视觉建模机器人听起来很高级,来自山东,这个全球首款视觉建模机器人听起来很高级,北京 东城区,女
24年06月27日 18:02,这个模型好厉害，要是能普及就好了，以后不管是设计还是制造，都可以用这个框架了,来自河北,这个模型好厉害，要是能普及就好了，以后不管是设计还是制造，都可以用这个框架了,北京 东城区,女
24年06月27日 18:01,"好厉害！<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自辽宁,好厉害！[打call],北京 东城区,女
24年06月27日 18:00,DDPRM让生活更便捷！😍,来自贵州,DDPRM让生活更便捷！😍,北京 东城区,女
24年06月27日 18:00,哇哦！这个视频看起来好酷炫,来自河北,哇哦！这个视频看起来好酷炫,北京 东城区,女
24年06月27日 17:59,哇哦！这在中国算先进的么,来自天津,哇哦！这在中国算先进的么,北京,女
24年06月27日 17:57,这个全球唯一呀,来自安徽,这个全球唯一呀,北京 东城区,女
24年06月27日 17:56,这个好像很厉害的样子,来自江西,这个好像很厉害的样子,北京 东城区,女
24年06月27日 17:51,感觉这个机器人在未来会被广泛应用在各行各业,来自山东,感觉这个机器人在未来会被广泛应用在各行各业,北京 东城区,女
24年06月27日 17:48,这个全球首款机器人的外观设计好像很独特,来自江苏,这个全球首款机器人的外观设计好像很独特,北京 东城区,女
24年06月27日 17:47,这个机械臂看上去好高级,来自云南,这个机械臂看上去好高级,北京 东城区,女
24年06月27日 17:47,哇哦！这也太先进了吧,来自山东,哇哦！这也太先进了吧,北京 东城区,女
24年06月27日 17:47,这个技术也算是一个突破了，很方便,来自辽宁,这个技术也算是一个突破了，很方便,北京 东城区,女
24年06月27日 17:45,这个和人脸识别有什么关系呢,来自贵州,这个和人脸识别有什么关系呢,北京 东城区,女
24年06月27日 17:45,DDPRM在家里帮你做家务！🤖,来自辽宁,DDPRM在家里帮你做家务！🤖,北京 东城区,女
24年06月27日 17:44,我们永远要相信科技的力量，加油吧！,来自江西,我们永远要相信科技的力量，加油吧！,北京 东城区,女
24年06月27日 17:44,这个跟之前那个仿人的有点不一样吧,来自贵州,这个跟之前那个仿人的有点不一样吧,北京,女
24年06月27日 17:43,太酷了！感觉未来的生活离不开这些智能伙伴,来自天津,太酷了！感觉未来的生活离不开这些智能伙伴,北京,女
24年06月27日 17:42,视觉扩散架构是机器人领域的新方向，很有前景,来自广东,视觉扩散架构是机器人领域的新方向，很有前景,北京 东城区,女
24年06月27日 17:41,这个全球首款视觉延展框架的人型机器人大脑好强大啊,来自广东,这个全球首款视觉延展框架的人型机器人大脑好强大啊,北京 东城区,女
24年06月27日 17:41,哇哦！这跟人一模一样,来自辽宁,哇哦！这跟人一模一样,北京 东城区,女
24年06月27日 17:40,这个机器人在办公室帮忙处理文档听起来很不错,来自山东,这个机器人在办公室帮忙处理文档听起来很不错,北京 东城区,女
24年06月27日 17:39,机器人领域正在突飞猛进，真是太棒了！,来自江西,机器人领域正在突飞猛进，真是太棒了！,北京 东城区,女
24年06月27日 17:38,"对于这个我也不懂，但看这个样子还是挺酷<img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" />",来自山东,对于这个我也不懂，但看这个样子还是挺酷[嘻嘻],北京 东城区,女
24年06月27日 17:35,哇哦！这个和我家里的那个有点不一样,来自江西,哇哦！这个和我家里的那个有点不一样,北京 东城区,女
24年06月27日 17:34,感觉这个机器人在处理复杂环境的时候会比类似的model q要好,来自江苏,感觉这个机器人在处理复杂环境的时候会比类似的model q要好,北京 东城区,女
24年06月27日 17:32,"这可真的是个高科技啊<img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" /><img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" />",来自辽宁,这可真的是个高科技啊[嘻嘻][嘻嘻],北京 东城区,女
24年06月27日 17:28,这个全球首发的感觉好高大上啊,来自江苏,这个全球首发的感觉好高大上啊,北京 东城区,女
24年06月27日 17:27,这个在全球领先么,来自贵州,这个在全球领先么,北京,女
24年06月27日 17:24,感觉这个机器人的智能程度堪比人类啊,来自江苏,感觉这个机器人的智能程度堪比人类啊,北京 东城区,女
24年06月27日 18:21,这个技术太令人激动了，这将极大地推动机器人的发展,来自贵州,这个技术太令人激动了，这将极大地推动机器人的发展,北京 东城区,女
24年06月27日 18:13,感觉这个机器人在未来会被广泛应用在各行各业啊,来自天津,感觉这个机器人在未来会被广泛应用在各行各业啊,北京,女
24年06月27日 17:33,这个趋势会不会影响到未来的就业市场啊,来自云南,这个趋势会不会影响到未来的就业市场啊,北京 东城区,女
24年06月27日 17:33,厉害，看来AI未来要取代人类部分职业,来自福建,厉害，看来AI未来要取代人类部分职业,北京 东城区,女
24年06月27日 17:32,"Ai现在越来越多了 我都不敢想象以后会有多方便了<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自云南,Ai现在越来越多了 我都不敢想象以后会有多方便了[doge][doge],北京 东城区,女
24年06月27日 17:32,啊这…以后考试怎么办,来自江西,啊这…以后考试怎么办,北京 东城区,女
24年06月27日 17:32,Chatgpt能不能解决我的作业问题,来自贵州,Chatgpt能不能解决我的作业问题,北京 东城区,女
24年06月27日 17:31,真的假的,来自广东,真的假的,北京 东城区,女
24年06月27日 17:31,AI现在越来越多了 以后会帮助我们干很多事情,来自福建,AI现在越来越多了 以后会帮助我们干很多事情,北京 东城区,女
24年06月27日 17:28,有没有可能将来考试也允许用人工智能,来自辽宁,有没有可能将来考试也允许用人工智能,北京 东城区,女
24年06月27日 17:25,有没有可能将这种方法应用到高考改革中呢,来自贵州,有没有可能将这种方法应用到高考改革中呢,北京,女
24年06月27日 17:23,现在的技术越来越先进了，不得不佩服人类的大脑！很厉害啊,来自江西,现在的技术越来越先进了，不得不佩服人类的大脑！很厉害啊,北京 东城区,女
24年06月27日 17:21,这个新闻让我想到前几天看的新浪科技的文章,来自安徽,这个新闻让我想到前几天看的新浪科技的文章,北京 东城区,女
24年06月27日 17:18,请问这个ai能做毕业论文么,来自江西,请问这个ai能做毕业论文么,北京 东城区,女
24年06月27日 17:17,哇塞！真的假的,来自安徽,哇塞！真的假的,北京 东城区,女
24年06月27日 17:17,这ChatGPT牛逼啊，我看看我能不能用它写完一篇论文,来自天津,这ChatGPT牛逼啊，我看看我能不能用它写完一篇论文,北京,女
24年06月27日 17:12,这个对于像我这样的学渣来说太友好了吧,来自天津,这个对于像我这样的学渣来说太友好了吧,北京,女
24年06月27日 17:11,这个新闻让我想起了之前看过的关于ai论文的文章,来自云南,这个新闻让我想起了之前看过的关于ai论文的文章,北京 东城区,女
24年06月27日 17:11,这算什么突破性进展么,来自贵州,这算什么突破性进展么,北京 东城区,女
24年06月27日 17:10,这算作弊吧,来自江西,这算作弊吧,北京 东城区,女
24年06月27日 17:09,哇哦！这对我来说真的太有帮助了,来自江苏,哇哦！这对我来说真的太有帮助了,北京 东城区,女
24年06月27日 17:09,这个新闻让我想起了之前的那个文章《机器人和人类的未来》,来自广东,这个新闻让我想起了之前的那个文章《机器人和人类的未来》,北京 东城区,女
24年06月27日 17:08,用了那么久的手机居然只开发了百分之十,来自广东,用了那么久的手机居然只开发了百分之十,北京 东城区,女
24年06月27日 17:08,这个对于成绩不好的人来说太友好了吧,来自广东,这个对于成绩不好的人来说太友好了吧,北京 东城区,女
24年06月27日 17:07,感觉未来高校会禁止ai完成作业吧,来自云南,感觉未来高校会禁止ai完成作业吧,北京 东城区,女
24年06月27日 17:06,Chat GPT是真的厉害,来自江西,Chat GPT是真的厉害,北京 东城区,女
24年06月27日 17:05,这个趋势会不会导致学术不端呢,来自广东,这个趋势会不会导致学术不端呢,北京 东城区,女
24年06月27日 17:02,哇！这对我来说简直救星好吧,来自江西,哇！这对我来说简直救星好吧,北京 东城区,女
24年06月27日 16:58,这不算作弊么,来自福建,这不算作弊么,北京 东城区,女
24年06月27日 16:57,我把我自己送出去了,来自安徽,我把我自己送出去了,北京,女
24年06月27日 16:55,现在的大学生真幸福,来自贵州,现在的大学生真幸福,北京 东城区,女
24年06月27日 16:55,ChatGPT确实厉害,来自贵州,ChatGPT确实厉害,北京,女
24年06月27日 16:54,AI这么牛逼，以后是不是可以不学数学了,来自安徽,AI这么牛逼，以后是不是可以不学数学了,北京 东城区,女
24年06月27日 16:54,这个新闻让我想起了之前风靡一时的chatgpt回答论文事件,来自江苏,这个新闻让我想起了之前风靡一时的chatgpt回答论文事件,北京 东城区,女
24年06月27日 16:52,ChatGPT真的这么厉害么,来自安徽,ChatGPT真的这么厉害么,北京 东城区,女
24年06月27日 16:51,有没有可能以后考试也允许用了 ai,来自山东,有没有可能以后考试也允许用了 ai,北京 东城区,女
24年06月27日 16:51,现在的人工智能技术这么发达了嘛,来自辽宁,现在的人工智能技术这么发达了嘛,北京 东城区,女
24年06月27日 16:44,感觉以后论文答辩会紧张了,来自天津,感觉以后论文答辩会紧张了,北京,女
24年06月27日 16:43,这个趋势会不会导致学霸们内卷得更厉害啊,来自江苏,这个趋势会不会导致学霸们内卷得更厉害啊,北京 东城区,女
24年06月27日 16:42,想试试chatgpt了,来自江苏,想试试chatgpt了,北京 东城区,女
24年06月27日 16:39,ChatGPT是啥？,来自江苏,ChatGPT是啥？,北京 东城区,女
24年06月27日 16:39,用了那么久的手机居然只能发短信,来自云南,用了那么久的手机居然只能发短信,北京 东城区,女
24年06月27日 16:38,这个对于学霸来说没啥用处吧,来自辽宁,这个对于学霸来说没啥用处吧,北京 东城区,女
24年06月27日 16:38,以后是不是可以给AI打了个补丁，让它帮忙写作业啊,来自山东,以后是不是可以给AI打了个补丁，让它帮忙写作业啊,北京 东城区,女
24年06月27日 16:37,这个新闻太符合我的口味了,来自广东,这个新闻太符合我的口味了,北京 东城区,女
24年06月27日 17:14,这个对于学渣来说简直太友好了吧,来自辽宁,这个对于学渣来说简直太友好了吧,北京 东城区,女
24年06月27日 16:43,真的假的?那我以后论文也用这个,来自天津,真的假的?那我以后论文也用这个,北京,女
24年06月27日 16:41,这理由听起来有点牵强啊,来自辽宁,这理由听起来有点牵强啊,北京 东城区,女
24年06月27日 16:40,最近一直在找合适的显卡升级电脑,来自河北,最近一直在找合适的显卡升级电脑,北京 东城区,女
24年06月27日 16:35,感觉这个会议挺干货,来自辽宁,感觉这个会议挺干货,北京 东城区,女
24年06月27日 16:34,现在市面上的ai处理器这么多。。。为啥就他牛逼呢,来自福建,现在市面上的ai处理器这么多。。。为啥就他牛逼呢,北京 东城区,女
24年06月27日 16:33,这是知识为我们解惑了，AI现在的发展也会越来越好,来自云南,这是知识为我们解惑了，AI现在的发展也会越来越好,北京 东城区,女
24年06月27日 16:33,"不得不说这还是很不错的呢<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自江西,不得不说这还是很不错的呢[doge][doge],北京 东城区,女
24年06月27日 16:27,我的专业就是ai方向 黄老板讲的很明白,来自广东,我的专业就是ai方向 黄老板讲的很明白,北京 东城区,女
24年06月27日 16:25,看不出来啊,来自广东,看不出来啊,北京,女
24年06月27日 16:23,"想问下各位大佬,这款ai处理器用在手机上怎么样啊",来自贵州,"想问下各位大佬,这款ai处理器用在手机上怎么样啊",北京 东城区,女
24年06月27日 16:22,这博主懂东西,来自云南,这博主懂东西,北京 东城区,女
24年06月27日 16:17,感觉去年是NVIDIA的大年了,来自云南,感觉去年是NVIDIA的大年了,北京 东城区,女
24年06月27日 16:14,听说这款显卡玩游戏很流畅,来自广东,听说这款显卡玩游戏很流畅,北京 东城区,女
24年06月27日 16:11,去年买了几块显卡都是NVIDIA,来自天津,去年买了几块显卡都是NVIDIA,北京,女
24年06月27日 16:11,这个帖子是不是说明我还不算太落后于时代,来自江苏,这个帖子是不是说明我还不算太落后于时代,北京 东城区,女
24年06月27日 16:10,请问这款ai芯适合做电竞领域的产品么,来自辽宁,请问这款ai芯适合做电竞领域的产品么,北京 东城区,女
24年06月27日 16:03,真的太棒了吧！很想去参与这样的盛会啊,来自辽宁,真的太棒了吧！很想去参与这样的盛会啊,北京 东城区,女
24年06月27日 16:03,请问这款ai芯用在哪些领域了,来自辽宁,请问这款ai芯用在哪些领域了,北京 东城区,女
24年06月27日 16:02,最近两年也是沉迷于AI芯片,来自云南,最近两年也是沉迷于AI芯片,北京 东城区,女
24年06月27日 16:02,"坐等以后应用<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自江西,坐等以后应用[打call][打call],北京 东城区,女
24年06月27日 15:52,英伟达真是行业领航者，AI芯片实力惊人！😮💪,来自安徽,英伟达真是行业领航者，AI芯片实力惊人！😮💪,北京 东城区,女
24年06月27日 15:51,AI现在是真火,来自河北,AI现在是真火,北京 东城区,女
24年06月27日 15:51,还是很有实力的,来自江西,还是很有实力的,北京 东城区,女
24年06月27日 15:48,"这就是我买不起的原因<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自贵州,这就是我买不起的原因[doge],北京,女
24年06月28日 23:39,不对吧，三大运营商的份额没那么小,来自上海,不对吧，三大运营商的份额没那么小,其他,男
24年06月27日 16:02,人工智能时代，云服务功不可没👏,来自安徽,人工智能时代，云服务功不可没👏,北京 东城区,女
24年06月27日 16:00,中国云服务市场一定会继续增长,来自安徽,中国云服务市场一定会继续增长,北京 东城区,女
24年06月27日 15:59,看了这篇文章，真的让我对云服务有了更多的了解,来自云南,看了这篇文章，真的让我对云服务有了更多的了解,北京 东城区,女
24年06月27日 15:55,更实惠的,来自安徽,更实惠的,北京 东城区,女
24年06月27日 15:55,阿里云真的稳啊，看好未来发展！👍,来自山东,阿里云真的稳啊，看好未来发展！👍,北京 东城区,女
24年06月27日 15:54,中国云服务市场真的是个巨大的市场啊,来自云南,中国云服务市场真的是个巨大的市场啊,北京 东城区,女
24年06月27日 15:51,腾讯云加持，期待更多创新应用😊,来自江苏,腾讯云加持，期待更多创新应用😊,北京 东城区,女
24年06月27日 15:49,云服务对于各大企业来说非常重要,来自贵州,云服务对于各大企业来说非常重要,北京 东城区,女
24年06月27日 15:41,华为云和腾讯云也不逊色，大起大落转瞬即逝😎,来自福建,华为云和腾讯云也不逊色，大起大落转瞬即逝😎,北京 东城区,女
24年06月27日 15:34,腾讯云服务在行业领域内算是佼佼者了,来自辽宁,腾讯云服务在行业领域内算是佼佼者了,北京 东城区,女
24年06月27日 15:33,一切都在云上✨,来自江苏,一切都在云上✨,北京 东城区,女
24年06月27日 15:27,阿里云在云计算领域真的是无可替代,来自福建,阿里云在云计算领域真的是无可替代,北京 东城区,女
24年06月27日 15:14,云计算已经成为各大企业的首选了,来自江苏,云计算已经成为各大企业的首选了,北京 东城区,女
24年06月27日 15:13,安徽真厉害，人形机器人都要世界领先了！👍,来自福建,安徽真厉害，人形机器人都要世界领先了！👍,北京 东城区,女
24年06月27日 15:10,虽然不知道具体是用途，但是感觉还是很厉害的,来自广东,虽然不知道具体是用途，但是感觉还是很厉害的,北京 东城区,女
24年06月27日 15:09,没想到这一波风潮也刮到安徽了啊，好牛,来自广东,没想到这一波风潮也刮到安徽了啊，好牛,北京 东城区,女
24年06月27日 15:09,"没想到我们的安徽率先在人形机器人方面取得突破了<img alt=""[鼓掌]"" title=""[鼓掌]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_guzhang_org.png"" />",来自山东,没想到我们的安徽率先在人形机器人方面取得突破了[鼓掌],北京 东城区,女
24年06月27日 14:56,这看起来就很有高科技了呀！很想去参观一下,来自安徽,这看起来就很有高科技了呀！很想去参观一下,北京 东城区,女
24年06月27日 14:56,这个技术太牛了，以后就会为我们打造一个更加智能的家园,来自江西,这个技术太牛了，以后就会为我们打造一个更加智能的家园,北京 东城区,女
24年06月27日 14:55,"希望我们的生活越来越好！科技改变生活<img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" /><img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" />",来自江西,希望我们的生活越来越好！科技改变生活[送花花][送花花],北京 东城区,女
24年06月27日 14:53,打造一个强大的制造业，带动整个经济链和就业,来自云南,打造一个强大的制造业，带动整个经济链和就业,北京 东城区,女
24年06月27日 14:38,希望这个机器人越来越厉害吧,来自广东,希望这个机器人越来越厉害吧,北京 东城区,女
24年06月27日 14:33,人工智能来了，期待人形机器人改变未来生活！😃,来自山东,人工智能来了，期待人形机器人改变未来生活！😃,北京 东城区,女
24年06月27日 14:31,在医疗养老领域，机器人真的能帮大忙吗？🤔,来自江苏,在医疗养老领域，机器人真的能帮大忙吗？🤔,北京 东城区,女
24年06月27日 14:28,感觉这样的技术就很厉害了，值得期待,来自江西,感觉这样的技术就很厉害了，值得期待,北京 东城区,女
24年06月27日 14:17,"期待给我们带来更多惊喜了<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自天津,期待给我们带来更多惊喜了[打call],北京,女
24年06月27日 15:03,没想到未来的五年都是以AI为主导的,来自陕西,没想到未来的五年都是以AI为主导的,北京 东城区,女
24年06月27日 14:58,AI芯片真的太厉害了，但要注意环保啊😮#你好人工智能时代,来自江苏,AI芯片真的太厉害了，但要注意环保啊😮#你好人工智能时代,北京 东城区,女
24年06月27日 14:56,AI芯片的进步，也要考虑一下碳排放哦🌱🔋#你好人工智能时代,来自江西,AI芯片的进步，也要考虑一下碳排放哦🌱🔋#你好人工智能时代,北京 东城区,女
24年06月27日 14:55,"还有五年时间<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自天津,还有五年时间[doge],北京,女
24年06月27日 14:45,"AI以后一定会遍布各个领域吧期待值满满<img alt=""[哇]"" title=""[哇]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3d/2022_wow_org.png"" /><img alt=""[哇]"" title=""[哇]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3d/2022_wow_org.png"" />",来自辽宁,AI以后一定会遍布各个领域吧期待值满满[哇][哇],北京 东城区,女
24年06月27日 14:39,电力消耗不小，大家一起关注环保吧🌍💡#AI芯片,来自江西,电力消耗不小，大家一起关注环保吧🌍💡#AI芯片,北京 东城区,女
24年06月27日 14:31,没想到在未来还要消耗更多的电量，反正我是感觉今年挺有意思的,来自江西,没想到在未来还要消耗更多的电量，反正我是感觉今年挺有意思的,北京 东城区,女
24年06月27日 14:26,"<img alt=""[思考]"" title=""[思考]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/30/2018new_sikao_org.png"" />该说不说，现在AI真的是越来越多了啊！还消耗世界这么少的能源<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",来自广东,[思考]该说不说，现在AI真的是越来越多了啊！还消耗世界这么少的能源[笑cry],北京 东城区,女
24年06月27日 14:23,这是不是意味着以后ai会代替更多的工作呀？,来自贵州,这是不是意味着以后ai会代替更多的工作呀？,北京 东城区,女
24年06月27日 14:19,那大家到时候继续努力吧,来自安徽,那大家到时候继续努力吧,北京 东城区,女
24年06月27日 14:42,现在的技术越来越厉害了,来自云南,现在的技术越来越厉害了,北京 东城区,女
24年06月26日 15:02,苹果这一做法不仅节约了成本，也减少了人力风险，真可谓一举两得,来自广东,苹果这一做法不仅节约了成本，也减少了人力风险，真可谓一举两得,北京 东城区,女
24年06月26日 14:56,苹果的自动化生产线都是最先进的技术，看完感觉富士康要变旧厂了,来自天津,苹果的自动化生产线都是最先进的技术，看完感觉富士康要变旧厂了,北京,女
24年06月26日 14:44,这技术太强了，没想到苹果能这么玩,来自云南,这技术太强了，没想到苹果能这么玩,北京 东城区,女
24年06月26日 14:40,看了这篇文章，富士康的日子不好过啊,来自辽宁,看了这篇文章，富士康的日子不好过啊,北京 东城区,女
24年06月26日 14:29,苹果是想把组装线外包给富士康吗？,来自河北,苹果是想把组装线外包给富士康吗？,北京 东城区,女
24年06月26日 14:29,苹果公司的创新不止在手机上，在供应链方面也要做颠覆性的创新啊,来自广东,苹果公司的创新不止在手机上，在供应链方面也要做颠覆性的创新啊,北京 东城区,女
24年06月26日 14:10,不得不说，苹果还是很厉害的,来自江西,不得不说，苹果还是很厉害的,北京 东城区,女
24年06月26日 14:57,确实提高了生产效率，但希望iPhone品质不会因此下降😅,来自云南,确实提高了生产效率，但希望iPhone品质不会因此下降😅,北京 东城区,女
