评论时间,处理内容,评论者IP归属地,评论内容,用户地理位置,评论者性别,情感分析
24年07月01日 12:37,有没有可能把ai技术应用到教育领域呢,来自江苏,有没有可能把ai技术应用到教育领域呢,北京 东城区,女,0.981099028
24年07月01日 12:36,AI现在越来越多了 我也开始关注这个话题了,来自山东,AI现在越来越多了 我也开始关注这个话题了,北京 东城区,女,0.866971227
24年07月01日 12:34,有没有可能把ai应用到游戏中,来自云南,有没有可能把ai应用到游戏中,北京 东城区,女,0.71665445
24年07月01日 12:33,感觉他真的很有前瞻性，一定会是一个大赢家的,来自云南,感觉他真的很有前瞻性，一定会是一个大赢家的,北京 东城区,女,0.850164357
24年07月01日 12:32,听比尔盖茨的话，我对AI的未来不再迷茫！,来自广东,听比尔盖茨的话，我对AI的未来不再迷茫！,北京 东城区,女,0.996280796
24年07月01日 12:30,哇！没想到我对科学的热爱竟然能和亿万富翁感同身受,来自云南,哇！没想到我对科学的热爱竟然能和亿万富翁感同身受,北京 东城区,女,0.965852758
24年07月01日 12:28,把ai当作家居神器挺好的,来自贵州,把ai当作家居神器挺好的,北京 东城区,女,0.816476536
24年07月01日 12:28,请问这位大佬平时工作都用哪些ai软件呀,来自江西,请问这位大佬平时工作都用哪些ai软件呀,北京 东城区,女,0.336635634
24年07月01日 12:27,想了解一下这个ai在商务领域的应用,来自江苏,想了解一下这个ai在商务领域的应用,北京 东城区,女,0.98207369
24年07月01日 12:27,最近总是刷到这个话题,来自广东,最近总是刷到这个话题,北京 东城区,女,0.218544252
24年07月01日 12:27,感觉以后会有越来越多的工作是跟ai有关的,来自山东,感觉以后会有越来越多的工作是跟ai有关的,北京 东城区,女,0.651746279
24年07月01日 12:27,感觉未来会是ai的游戏天下,来自天津,感觉未来会是ai的游戏天下,北京,女,0.919447426
24年07月01日 12:27,现在市面上的ai产品太多了吧,来自云南,现在市面上的ai产品太多了吧,北京 东城区,女,0.615579663
24年07月01日 12:27,太棒了！期待更多智能科技的创新,来自天津,太棒了！期待更多智能科技的创新,北京,女,0.996239737
24年07月01日 12:21,"期待未来有更多的优秀人才出现<img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" />",来自安徽,期待未来有更多的优秀人才出现[good],北京 东城区,女,0.995546246
24年07月01日 12:19,我马上就去读个金融硕士,来自安徽,我马上就去读个金融硕士,北京 东城区,女,0.798208865
24年07月01日 12:19,把ai当伙伴感觉会很有成就感吧,来自四川,把ai当伙伴感觉会很有成就感吧,北京,女,0.955813947
24年07月01日 12:11,最近一直在关注ai领域的发展,来自贵州,最近一直在关注ai领域的发展,北京 东城区,女,0.998709733
24年07月01日 12:10,把ai用在教育上吧,来自安徽,把ai用在教育上吧,北京 东城区,女,0.763217734
24年07月01日 12:09,未来科技赢家从AI中诞生，看来AI是重头戏,来自安徽,未来科技赢家从AI中诞生，看来AI是重头戏,北京 东城区,女,0.998470207
24年07月01日 12:09,这个博文有点东西,来自贵州,这个博文有点东西,北京 东城区,女,0.678667841
24年07月01日 12:08,感觉未来ai会在各个行业都有大作用,来自天津,感觉未来ai会在各个行业都有大作用,北京,女,0.978201966
24年07月01日 12:08,请问现在投资ai领域的公司还有前景么,来自安徽,请问现在投资ai领域的公司还有前景么,北京 东城区,女,0.824461733
24年07月01日 12:08,感觉未来都是ai的时代了,来自江西,感觉未来都是ai的时代了,北京 东城区,女,0.97643356
24年07月01日 12:08,比尔盖茨对AI的预测让我感到震撼，人工智能真的是未来科技的核心！,来自贵州,比尔盖茨对AI的预测让我感到震撼，人工智能真的是未来科技的核心！,北京,女,0.999982717
24年07月01日 12:07,想知道如果我要学ai的话应该从哪入手,来自江苏,想知道如果我要学ai的话应该从哪入手,北京 东城区,女,0.861274417
24年07月01日 12:02,这个观点好认同,来自山东,这个观点好认同,北京 东城区,女,0.728836628
24年07月01日 12:29,"期待未来会出更多新的东西吧<img alt=""[笑哈哈]"" title=""[笑哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/32/lxhwahaha_org.gif"" /><img alt=""[笑哈哈]"" title=""[笑哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/32/lxhwahaha_org.gif"" />～",来自云南,期待未来会出更多新的东西吧[笑哈哈][笑哈哈]～,北京,女,0.995068718
24年07月01日 12:18,最近一直在看有关ai的东西,来自天津,最近一直在看有关ai的东西,北京 东城区,女,0.564146252
24年07月01日 11:36,"AI现在发展的很快了呀<img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" />",来自安徽,AI现在发展的很快了呀[嘻嘻],北京 东城区,女,0.997959711
24年07月01日 11:19,现在的AI都这么智能了吗？,来自江西,现在的AI都这么智能了吗？,北京 东城区,女,0.544341024
24年07月01日 11:14,AI现在的发展越来越好了，期待未来能给我们带来更多惊喜,来自贵州,AI现在的发展越来越好了，期待未来能给我们带来更多惊喜,北京 东城区,女,0.999590279
24年07月01日 11:13,现在的AI技术真的发展的很快呀！超喜欢😍,来自云南,现在的AI技术真的发展的很快呀！超喜欢😍,北京 东城区,女,0.981468006
24年07月01日 11:03,"没想到AI也能做到这么好 谁也想不到吧<img alt=""[偷笑]"" title=""[偷笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/71/2018new_touxiao_org.png"" />",来自云南,没想到AI也能做到这么好 谁也想不到吧[偷笑],北京 东城区,女,0.35450549
24年07月01日 10:59,AI智能化太赞了，期待未来有更多的成就！,来自广东,AI智能化太赞了，期待未来有更多的成就！,北京 东城区,女,0.993619979
24年07月01日 10:49,"天哪 太惊艳了嘛 <img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /> 真的是太棒了 我也要去体验一下",来自广东,天哪 太惊艳了嘛 [打call] 真的是太棒了 我也要去体验一下,北京 东城区,女,0.955031176
24年07月01日 11:36,好奇如果真被查了的话会不会影响ai的发展,来自辽宁,好奇如果真被查了的话会不会影响ai的发展,北京 东城区,女,0.872135902
24年07月01日 11:36,为什么是欧盟呢,来自广东,为什么是欧盟呢,北京 东城区,女,0.5
24年07月01日 11:36,谷歌和三星的AI交易也不安全，欧盟真是操碎了心😂,来自江苏,谷歌和三星的AI交易也不安全，欧盟真是操碎了心😂,北京 东城区,女,0.215086446
24年07月01日 11:35,"现在只要是科技巨头，不用管那么多，国家直接出手就行<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自辽宁,现在只要是科技巨头，不用管那么多，国家直接出手就行[doge][doge][doge],北京 东城区,女,0.941277332
24年07月01日 11:35,谷歌与三星也在合作AI，居然被欧盟抓到把柄😎,来自江苏,谷歌与三星也在合作AI，居然被欧盟抓到把柄😎,北京 东城区,女,0.006287846
24年07月01日 11:33,安卓系统什么时候能享受到openai的智慧呢,来自云南,安卓系统什么时候能享受到openai的智慧呢,北京 东城区,女,0.988911013
24年07月01日 11:32,其他,来自福建,其他,北京 东城区,女,0.526232782
24年07月01日 11:31,这两个公司要是不能合作共赢该多好,来自江西,这两个公司要是不能合作共赢该多好,北京 东城区,女,0.102445623
24年07月01日 11:30,微软跟OpenAI的智能合作，好像被盯上啦！🤖,来自安徽,微软跟OpenAI的智能合作，好像被盯上啦！🤖,北京 东城区,女,0.296698442
24年07月01日 11:29,这算是给广大玩家送福利了吗,来自江西,这算是给广大玩家送福利了吗,北京 东城区,女,0.776488555
24年07月01日 11:27,这两家都被盯上了,来自江苏,这两家都被盯上了,北京,女,0.396981429
24年07月01日 11:26,这个新闻让我想起最近在追的黑镜,来自福建,这个新闻让我想起最近在追的黑镜,北京 东城区,女,0.876323192
24年07月01日 11:24,这个新闻让我想起了之前NVIDIA收购ARM的事,来自江西,这个新闻让我想起了之前NVIDIA收购ARM的事,北京 东城区,女,0.974428518
24年07月01日 11:24,微软不是一直都很牛么,来自广东,微软不是一直都很牛么,北京 东城区,女,0.781240947
24年07月01日 11:22,Openai 和 Microsoft 的 alliance is truly remarkable,来自河北,Openai 和 Microsoft 的 alliance is truly remarkable,北京 东城区,女,0.421874598
24年07月01日 11:22,我想知道这个Openai是怎么做的ai呢,来自贵州,我想知道这个Openai是怎么做的ai呢,北京,女,0.578384332
24年07月01日 11:21,最近在追黑镜,来自广东,最近在追黑镜,北京 东城区,女,0.505384161
24年07月01日 11:20,微软又来搞事情了，这次和OpenAI的合作也要被盯上😅,来自江西,微软又来搞事情了，这次和OpenAI的合作也要被盯上😅,北京 东城区,女,0.187035181
24年07月01日 11:17,Openai是不是不能打拳了,来自江西,Openai是不是不能打拳了,北京 东城区,女,0.200248406
24年07月01日 11:17,这个新闻太突然了,来自山东,这个新闻太突然了,北京 东城区,女,0.633713797
24年07月01日 11:17,现在的人工智能已经强大到这种程度了么,来自天津,现在的人工智能已经强大到这种程度了么,北京,女,0.697202646
24年07月01日 11:13,这个新闻让我想起了之前的苹果收购字节的事情,来自江苏,这个新闻让我想起了之前的苹果收购字节的事情,北京 东城区,女,0.998434189
24年07月01日 11:11,Openai 是那个做 gpt 的公司吧,来自辽宁,Openai 是那个做 gpt 的公司吧,北京 东城区,女,0.512469109
24年07月01日 11:09,这说明了啥！说明以后的人工智能都会比openai更良心,来自江苏,这说明了啥！说明以后的人工智能都会比openai更良心,北京 东城区,女,0.518997237
24年07月01日 11:09,这玩意真的能取代人类创作者么,来自贵州,这玩意真的能取代人类创作者么,北京 东城区,女,0.907029236
24年07月01日 11:08,OpenAI 的技术好像很厉害,来自江西,OpenAI 的技术好像很厉害,北京 东城区,女,0.327466955
24年07月01日 11:08,想了解一下openai是什么,来自河北,想了解一下openai是什么,北京 东城区,女,0.518029791
24年07月01日 11:07,其他企业面对这么一个恶龙会束手无策呀！更惨,来自天津,其他企业面对这么一个恶龙会束手无策呀！更惨,北京,女,0.958081337
24年07月01日 11:05,我猜苹果会不会被排除在外,来自辽宁,我猜苹果会不会被排除在外,北京 东城区,女,0.704259162
24年07月01日 11:04,把Openai当作聊天室小伙伴,来自贵州,把Openai当作聊天室小伙伴,北京 东城区,女,0.52683451
24年07月01日 11:04,这个新闻好适合当素材,来自安徽,这个新闻好适合当素材,北京 东城区,女,0.98304853
24年07月01日 11:02,感觉以后科技巨头们要低调一点了,来自贵州,感觉以后科技巨头们要低调一点了,北京 东城区,女,0.917406746
24年07月01日 11:02,这会对Openai有什么影响呀,来自云南,这会对Openai有什么影响呀,北京 东城区,女,0.434344716
24年07月01日 10:59,Openai 的 GPT 和 ChatGPT 好火啊,来自广东,Openai 的 GPT 和 ChatGPT 好火啊,北京 东城区,女,0.396079856
24年07月01日 10:56,这个新闻让我想到最近很火的chatGPT,来自江西,这个新闻让我想到最近很火的chatGPT,北京 东城区,女,0.790815309
24年07月01日 10:54,三星彻底把希望放到了国内公司身上，从手机到汽车，期待一举突破,来自江苏,三星彻底把希望放到了国内公司身上，从手机到汽车，期待一举突破,北京 东城区,女,0.873872371
24年07月01日 10:50,是不是意味着以后玩游戏能享受到更高级的ai优化,来自贵州,是不是意味着以后玩游戏能享受到更高级的ai优化,北京,女,0.948935541
24年07月01日 10:49,这新闻说明我们的未来是充满无限可能的！,来自安徽,这新闻说明我们的未来是充满无限可能的！,北京 东城区,女,0.99954202
24年07月01日 10:49,"如果真的反垄断被发现，那真是好事情<img alt=""[笑哈哈]"" title=""[笑哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/32/lxhwahaha_org.gif"" />",来自广东,如果真的反垄断被发现，那真是好事情[笑哈哈],北京 东城区,女,0.711051662
24年07月01日 10:47,有没有可能直接禁止开放ai的使用,来自广东,有没有可能直接禁止开放ai的使用,北京 东城区,女,0.146816005
24年07月01日 10:46,这个新闻好适合当我的背景音乐,来自贵州,这个新闻好适合当我的背景音乐,北京 东城区,女,0.979070859
24年07月01日 10:45,这个会不会影响gpta的收益啊,来自山东,这个会不会影响gpta的收益啊,北京,女,0.765277963
24年07月01日 10:44,安卓机子能用openai么,来自辽宁,安卓机子能用openai么,北京 东城区,女,0.9586277
24年07月01日 11:35,Openai 的 Gpt 为什么不做做音乐呢,来自天津,Openai 的 Gpt 为什么不做做音乐呢,北京,女,0.627399088
24年07月01日 11:08,这个新闻让我想起最近很火的talking dogs,来自贵州,这个新闻让我想起最近很火的talking dogs,北京 东城区,女,0.848960412
24年07月01日 11:04,我们不反对反垄断，但是要在合适的时候进行反垄断，不能在人家搞垄断的时候也加入到反垄断当中去，就像阿里和京东一样，他们在白野前都不退出，都加入到垄断中去了，然后才开始作价，你加入进去搞垄断了，后面进来一个比你搞得更厉害，或者自己分出去一块市场……所以到底是谁有这个机会？是你吗？,来自广东,我们不反对反垄断，但是要在合适的时候进行反垄断，不能在人家搞垄断的时候也加入到反垄断当中去，就像阿里和京东一样，他们在白野前都不退出，都加入到垄断中去了，然后才开始作价，你加入进去搞垄断了，后面进来一个比你搞得更厉害，或者自己分出去一块市场……所以到底是谁有这个机会？是你吗？,北京 东城区,女,0.746647808
24年07月01日 11:38,请问这个雨神AI是做什么方向的,来自江苏,请问这个雨神AI是做什么方向的,北京 东城区,女,0.494773402
24年07月01日 11:38,哇哦！又有一个大神加入了AI领域,来自辽宁,哇哦！又有一个大神加入了AI领域,北京 东城区,女,0.970988438
24年07月01日 11:31,有没有可能以后我们的手机都是rain制造的,来自云南,有没有可能以后我们的手机都是rain制造的,北京 东城区,女,0.708512213
24年07月01日 11:30,哇哦这家公司的理念很吸引人呢,来自福建,哇哦这家公司的理念很吸引人呢,北京 东城区,女,0.898831762
24年07月01日 11:30,这个的确是很专业了 必须要好好地支持一下的,来自云南,这个的确是很专业了 必须要好好地支持一下的,北京 东城区,女,0.858181729
24年07月01日 11:29,哇！又学到新知识了,来自江西,哇！又学到新知识了,北京 东城区,女,0.964890797
24年07月01日 11:26,支持进步科技,来自江苏,支持进步科技,北京 东城区,女,0.828674406
24年07月01日 11:25,不知道这一波引流操作，对于宣传自家产品的企业来说是不是有帮助呢？,来自云南,不知道这一波引流操作，对于宣传自家产品的企业来说是不是有帮助呢？,北京 东城区,女,0.103686688
24年07月01日 11:23,哇哦！Apple的老将去了别的厂商,来自天津,哇哦！Apple的老将去了别的厂商,北京,女,0.267703601
24年07月01日 11:18,新的硬件工程主管加入，Rain AI的前景不可限量🌟！,来自山东,新的硬件工程主管加入，Rain AI的前景不可限量🌟！,北京 东城区,女,0.284726152
24年07月01日 11:17,苹果高管跳槽到Rain AI，未来的芯片一定更强大💥！,来自云南,苹果高管跳槽到Rain AI，未来的芯片一定更强大💥！,北京 东城区,女,0.994650339
24年07月01日 11:17,这家公司的理念很符合我对未来科技的想象,来自浙江,这家公司的理念很符合我对未来科技的想象,其他,女,0.991216408
24年07月01日 11:16,这大佬过去是做什么项目的呀,来自辽宁,这大佬过去是做什么项目的呀,北京 东城区,女,0.860509762
24年07月01日 11:14,"挖墙角，这种事獠人最擅长了<img alt=""[笑哈哈]"" title=""[笑哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/32/lxhwahaha_org.gif"" />",来自江西,挖墙角，这种事獠人最擅长了[笑哈哈],北京 东城区,女,0.566453383
24年07月01日 11:12,Apple的老将都去了rain ai,来自贵州,Apple的老将都去了rain ai,北京 东城区,女,0.441305908
24年07月01日 11:10,哇！我之前一直觉得这个小伙子挺厉害的,来自贵州,哇！我之前一直觉得这个小伙子挺厉害的,北京 东城区,女,0.711278888
24年07月01日 11:07,这个大佬过去在英特尔做过处理器设计,来自广东,这个大佬过去在英特尔做过处理器设计,北京 东城区,女,0.964844297
24年07月01日 11:07,看起来这样的事情好像经常都会发生呀,来自江苏,看起来这样的事情好像经常都会发生呀,北京 东城区,女,0.604734728
24年07月01日 11:07,这个人才流动有点意思,来自安徽,这个人才流动有点意思,北京 东城区,女,0.604822665
24年07月01日 11:05,"高通，就是打算要把你变成第二个华为了是吧<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自江西,高通，就是打算要把你变成第二个华为了是吧[doge],北京 东城区,女,0.403655991
24年07月01日 11:04,苹果的高管都跑去竞争对手那边了哎,来自辽宁,苹果的高管都跑去竞争对手那边了哎,北京 东城区,女,0.87764994
24年07月01日 10:53,Rain AI团队真的是强大💪，期待创新节能芯片的来临！,来自山东,Rain AI团队真的是强大💪，期待创新节能芯片的来临！,北京 东城区,女,0.98782888
24年07月01日 10:53,哇！我的电脑要升级了,来自贵州,哇！我的电脑要升级了,北京 东城区,女,0.635574344
24年07月01日 10:52,这个人才的流动好有意思,来自云南,这个人才的流动好有意思,北京 东城区,女,0.923875845
24年07月01日 10:52,我听说这家公司还有别的业务,来自江苏,我听说这家公司还有别的业务,北京 东城区,女,0.288733333
24年07月01日 10:52,这个新闻让我想起了去年NVIDIA收购ARM的事情,来自河北,这个新闻让我想起了去年NVIDIA收购ARM的事情,北京 东城区,女,0.986398806
24年07月01日 10:49,这名字...怎么读,来自辽宁,这名字...怎么读,北京 东城区,女,0.701237084
24年07月01日 10:49,"看来是真的会给我们带来很多新的惊喜了<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自广东,看来是真的会给我们带来很多新的惊喜了[doge],北京 东城区,女,0.967355861
24年07月01日 10:47,哇！这个新闻听起来好高级,来自山东,哇！这个新闻听起来好高级,北京 东城区,女,0.813751975
24年07月01日 10:46,这个大佬加盟后，感觉rain ai实力大增啊,来自江苏,这个大佬加盟后，感觉rain ai实力大增啊,北京 东城区,女,0.934769934
24年07月01日 10:45,这是真的吗？会不会跳槽之后更加好一些？,来自天津,这是真的吗？会不会跳槽之后更加好一些？,北京,女,0.615345364
24年07月01日 10:45,听说这家公司的技术很厉害,来自辽宁,听说这家公司的技术很厉害,北京 东城区,女,0.292653378
24年07月01日 10:43,这个大神过去的项目好像都是iOS方面的吧,来自辽宁,这个大神过去的项目好像都是iOS方面的吧,北京 东城区,女,0.426759608
24年07月01日 10:42,自己不造芯片，永远被别家卡脖子，还跳脚什么呢？,来自广东,自己不造芯片，永远被别家卡脖子，还跳脚什么呢？,北京 东城区,女,0.350980456
24年07月01日 10:42,高通这么搞，让紫光阁怎么堪？哈哈哈哈哈哈哈,来自辽宁,高通这么搞，让紫光阁怎么堪？哈哈哈哈哈哈哈,北京 东城区,女,0.957890551
24年07月01日 10:40,这个新闻有点猛,来自安徽,这个新闻有点猛,北京 东城区,女,0.958519464
24年07月01日 11:33,鼎鼎大名的芯片高管也被Rain AI吸引了🧲，不容小觑！,来自天津,鼎鼎大名的芯片高管也被Rain AI吸引了🧲，不容小觑！,北京,女,0.867004333
24年07月01日 11:29,听说这位大佬之前就参与过Macbook的处理器开发,来自贵州,听说这位大佬之前就参与过Macbook的处理器开发,北京 东城区,女,0.942881998
24年07月01日 11:35,看到这条新闻让我想到前段时间风很大的chatGPT,来自河北,看到这条新闻让我想到前段时间风很大的chatGPT,北京 东城区,女,0.918195149
24年07月01日 11:35,没想到这个通电话起家的也会玩上ai了,来自江西,没想到这个通电话起家的也会玩上ai了,北京 东城区,女,0.421592033
24年07月01日 11:33,这个职位听起来好高级,来自辽宁,这个职位听起来好高级,北京 东城区,女,0.704421108
24年07月01日 11:33,这算是有前途的自由职业了吗,来自江西,这算是有前途的自由职业了吗,北京 东城区,女,0.827804067
24年07月01日 11:31,这个职位听起来有点酷炫哎,来自贵州,这个职位听起来有点酷炫哎,北京 东城区,女,0.967832742
24年07月01日 11:29,哇，通信博士在Scale AI训练AI模型，真是一份另类的自由职业！👍,来自江苏,哇，通信博士在Scale AI训练AI模型，真是一份另类的自由职业！👍,北京 东城区,女,0.999793137
24年07月01日 11:29,虽然但是……还是觉得读个博划算,来自贵州,虽然但是……还是觉得读个博划算,北京 东城区,女,0.566624191
24年07月01日 11:28,这算是把印度的劣势转为优势了,来自江西,这算是把印度的劣势转为优势了,北京 东城区,女,0.760889821
24年07月01日 11:23,哈哈这也能叫抢工作岗位嘛,来自江西,哈哈这也能叫抢工作岗位嘛,北京 东城区,女,0.745466802
24年07月01日 11:22,有没有可能把他的工作内容自动化掉啊,来自广东,有没有可能把他的工作内容自动化掉啊,北京 东城区,女,0.356825896
24年07月01日 11:20,AI现在确实火啊，但什么时候能真正应用到我们的生活也离得很近了,来自山东,AI现在确实火啊，但什么时候能真正应用到我们的生活也离得很近了,北京 东城区,女,0.895162606
24年07月01日 11:17,这个博主是哪里找的,来自安徽,这个博主是哪里找的,北京 东城区,女,0.367803779
24年07月01日 11:16,听说这个职位薪水很高,来自广东,听说这个职位薪水很高,北京 东城区,女,0.803860735
24年07月01日 11:15,感觉这个职位很适合我有木有,来自江苏,感觉这个职位很适合我有木有,北京 东城区,女,0.842263315
24年07月01日 11:15,马特的经历让我想到，我们在追求科技进步的同时，也要关注人类的工作，不能本末倒置,来自贵州,马特的经历让我想到，我们在追求科技进步的同时，也要关注人类的工作，不能本末倒置,北京,女,0.99199871
24年07月01日 11:13,这跟打螺丝有什么区别啊哈哈,来自云南,这跟打螺丝有什么区别啊哈哈,北京 东城区,女,0.20684313
24年07月01日 11:13,看来国外对ai领域的高学历人才还挺重视,来自福建,看来国外对ai领域的高学历人才还挺重视,北京 东城区,女,0.992100599
24年07月01日 11:12,看来AI的普及力度很大，以后肯定会看到更多类似的工作涌现出来,来自河北,看来AI的普及力度很大，以后肯定会看到更多类似的工作涌现出来,北京 东城区,女,0.664938073
24年07月01日 11:06,这也能叫工作了?,来自辽宁,这也能叫工作了?,北京 东城区,女,0.569135802
24年07月01日 11:06,有没有可能把这种远程工作的模式复制到别的国家,来自江西,有没有可能把这种远程工作的模式复制到别的国家,北京 东城区,女,0.812366861
24年07月01日 11:03,"AI现在越来越多了啊，以后会不会没有饭吃啊<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",来自辽宁,AI现在越来越多了啊，以后会不会没有饭吃啊[允悲][笑cry],北京 东城区,女,0.945872027
24年07月01日 11:03,把工作和娱乐结合得太好了,来自广东,把工作和娱乐结合得太好了,北京 东城区,女,0.594667617
24年07月01日 11:01,把马特的学历和工作经验一说还挺匹配,来自江苏,把马特的学历和工作经验一说还挺匹配,北京 东城区,女,0.687588816
24年07月01日 10:59,这个博士的经历好有意思,来自贵州,这个博士的经历好有意思,北京 东城区,女,0.993456543
24年07月01日 10:59,感觉这个职位很适合我,来自广东,感觉这个职位很适合我,北京 东城区,女,0.855720716
24年07月01日 10:58,把博士用到极致,来自云南,把博士用到极致,北京,女,0.911689754
24年07月01日 10:57,这玩意儿能识歌词么,来自云南,这玩意儿能识歌词么,北京 东城区,女,0.780577923
24年07月01日 10:57,中国的高学历人才去哪儿了,来自江苏,中国的高学历人才去哪儿了,北京 东城区,女,0.887140495
24年07月01日 10:56,看了这篇文章，我才知道AI不仅仅是AI，更是改变我们生活的一种力量,来自江西,看了这篇文章，我才知道AI不仅仅是AI，更是改变我们生活的一种力量,北京 东城区,女,0.999768683
24年07月01日 10:56,这算是一种新的就业趋势吧,来自山东,这算是一种新的就业趋势吧,北京 东城区,女,0.98174194
24年07月01日 10:56,感觉这个职位有点高大上,来自江苏,感觉这个职位有点高大上,北京 东城区,女,0.865796704
24年07月01日 10:55,这算技术人员的自由职业发展么,来自贵州,这算技术人员的自由职业发展么,北京,女,0.747344003
24年07月01日 10:52,哇！这感觉就像是未来生活缩影一样,来自贵州,哇！这感觉就像是未来生活缩影一样,北京 东城区,女,0.996382133
24年07月01日 10:52,感觉这个职位挺酷啊,来自广东,感觉这个职位挺酷啊,北京 东城区,女,0.933151876
24年07月01日 10:51,AI现在真的是一个热门话题，但如果你不关注，你不知道它已经影响了你的生活和工作了,来自江苏,AI现在真的是一个热门话题，但如果你不关注，你不知道它已经影响了你的生活和工作了,北京 东城区,女,0.981724661
24年07月01日 10:47,AI时代，人类的工作正在逐渐被取代，你准备好了吗？,来自广东,AI时代，人类的工作正在逐渐被取代，你准备好了吗？,北京 东城区,女,0.993241578
24年07月01日 10:45,这个职位听起来好高大上,来自江苏,这个职位听起来好高大上,北京 东城区,女,0.929208568
24年07月01日 10:44,"突然感觉到从屏幕背后透出来的那份自信与实力<img alt=""[赢牛奶]"" title=""[赢牛奶]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9c/2021_yingniunai_org.png"" />",来自江西,突然感觉到从屏幕背后透出来的那份自信与实力[赢牛奶],北京 东城区,女,0.999006769
24年07月01日 10:44,还有没有别的岗位空缺啊，好多人抢都抢不到，真的太火爆了！,来自安徽,还有没有别的岗位空缺啊，好多人抢都抢不到，真的太火爆了！,北京 东城区,女,0.233502788
24年07月01日 10:42,中国有没有类似的岗位呀,来自云南,中国有没有类似的岗位呀,北京 东城区,女,0.702779714
24年07月01日 10:42,哇！我崇拜的科学家里有很多是通讯方向的,来自福建,哇！我崇拜的科学家里有很多是通讯方向的,北京 东城区,女,0.957282762
24年07月01日 10:42,好家伙！我还以为只有中国人在内卷呢,来自广东,好家伙！我还以为只有中国人在内卷呢,北京 东城区,女,0.390515512
24年07月01日 11:38,"这么高级的吗<img alt=""[憧憬]"" title=""[憧憬]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c9/2018new_chongjing_org.png"" />我感觉可以可以呀！",来自江西,这么高级的吗[憧憬]我感觉可以可以呀！,北京 东城区,女,0.294946488
24年06月28日 16:35,想试试能把工作效率提高多少,来自天津,想试试能把工作效率提高多少,北京,女,0.62762243
24年06月28日 16:31,把ai技术用在财经领域听起来很厉害,来自云南,把ai技术用在财经领域听起来很厉害,北京 东城区,女,0.985285961
24年06月28日 16:29,感觉以后财务会计的工作会被ai取代一部分,来自山东,感觉以后财务会计的工作会被ai取代一部分,北京 东城区,女,0.989071092
24年06月28日 16:26,彷佛看到《终结者》里的场景，未来已来！😮,来自天津,彷佛看到《终结者》里的场景，未来已来！😮,北京,女,0.959418107
24年06月28日 16:26,哇！我的工作神器来了,来自广东,哇！我的工作神器来了,北京 东城区,女,0.543216535
24年06月28日 16:26,哇塞 这不是对我这种财会小白人的福音么,来自山东,哇塞 这不是对我这种财会小白人的福音么,北京 东城区,女,0.672394757
24年06月28日 16:24,哇哦！我的日常必备就是手机电脑,来自贵州,哇哦！我的日常必备就是手机电脑,北京,女,0.893071735
24年06月28日 16:21,想知道这个ai对于经常做海外购物的朋友帮助大不大,来自江西,想知道这个ai对于经常做海外购物的朋友帮助大不大,北京 东城区,女,0.914252845
24年06月28日 16:15,哇！这么高级么,来自江西,哇！这么高级么,北京 东城区,女,0.373134328
24年06月28日 16:13,哇！!我们公司也在推行ai应用,来自云南,哇！!我们公司也在推行ai应用,北京 东城区,女,0.250244351
24年06月28日 16:12,哇塞！我财务工作的朋友在用ai帮你说话诶,来自江西,哇塞！我财务工作的朋友在用ai帮你说话诶,北京 东城区,女,0.283950129
24年06月28日 16:05,感觉这个会像法律ai那样普及开来,来自江西,感觉这个会像法律ai那样普及开来,北京 东城区,女,0.995554892
